Solar_data
Time,air_temperatures,wind_speeds,wind_directions,diffuse_horizontal_radiation,direct_beam_radiation,solar_reflectivity_of_ground
2012-01-01 00:00:00,1.0,3.9,8.0,0.0,0.0,0.2
2012-01-01 00:15:00,1.0,3.875,8.174999999999999,0.0,0.0,0.20500000000000002
2012-01-01 00:30:00,1.0,3.8499999999999996,8.35,0.0,0.0,0.21000000000000002
2012-01-01 00:45:00,1.0,3.8249999999999997,8.524999999999999,0.0,0.0,0.215
2012-01-01 01:00:00,1.0,3.8,8.7,0.0,0.0,0.22
2012-01-01 01:15:00,1.0,3.8249999999999997,8.875,0.0,0.0,0.215
2012-01-01 01:30:00,1.0,3.85,9.05,0.0,0.0,0.21
2012-01-01 01:45:00,1.0,3.875,9.225,0.0,0.0,0.20500000000000002
2012-01-01 02:00:00,1.0,3.9,9.4,0.0,0.0,0.2
2012-01-01 02:15:00,1.0,3.9499999999999997,9.575,0.0,0.0,0.20500000000000002
2012-01-01 02:30:00,1.0,3.9999999999999996,9.75,0.0,0.0,0.21000000000000002
2012-01-01 02:45:00,1.0,4.05,9.924999999999999,0.0,0.0,0.215
2012-01-01 03:00:00,1.0,4.1,10.1,0.0,0.0,0.22
2012-01-01 03:15:00,1.0,4.0249999999999995,10.275,0.0,0.0,0.22675
2012-01-01 03:30:00,1.0,3.9499999999999997,10.450000000000001,0.0,0.0,0.2335
2012-01-01 03:45:00,1.0,3.8749999999999996,10.625,0.0,0.0,0.24025
2012-01-01 04:00:00,1.0,3.8,10.8,0.0,0.0,0.247
2012-01-01 04:15:00,1.0,3.9,10.725000000000001,0.0,0.0,0.24525
2012-01-01 04:30:00,1.0,4.0,10.65,0.0,0.0,0.2435
2012-01-01 04:45:00,1.0,4.1000000000000005,10.575000000000001,0.0,0.0,0.24175
2012-01-01 05:00:00,1.0,4.2,10.5,0.0,0.0,0.24
2012-01-01 05:15:00,1.0,4.2250000000000005,10.625,0.0,0.0,0.245
2012-01-01 05:30:00,1.0,4.25,10.75,0.0,0.0,0.25
2012-01-01 05:45:00,1.0,4.275,10.875,0.0,0.0,0.255
2012-01-01 06:00:00,1.0,4.3,11.0,0.0,0.0,0.26
2012-01-01 06:15:00,1.0,4.25,11.425,0.0,0.0,0.25325000000000003
2012-01-01 06:30:00,1.0,4.199999999999999,11.85,0.0,0.0,0.2465
2012-01-01 06:45:00,1.0,4.1499999999999995,12.275,0.0,0.0,0.23975000000000002
2012-01-01 07:00:00,1.0,4.1,12.7,0.0,0.0,0.233
2012-01-01 07:15:00,1.0,4.05,11.524999999999999,13.0,42.25,0.2465
2012-01-01 07:30:00,1.0,4.0,10.35,26.0,84.5,0.26
2012-01-01 07:45:00,1.0,3.9499999999999997,9.174999999999999,39.0,126.74999999999999,0.27349999999999997
2012-01-01 08:00:00,1.0,3.9,8.0,52.0,169.0,0.287
2012-01-01 08:15:00,1.0,3.875,8.174999999999999,60.25,197.75,0.27349999999999997
2012-01-01 08:30:00,1.0,3.8499999999999996,8.35,68.5,226.5,0.26
2012-01-01 08:45:00,1.0,3.8249999999999997,8.524999999999999,76.75,255.25,0.2465
2012-01-01 09:00:00,1.0,3.8,8.7,85.0,284.0,0.233
2012-01-01 09:15:00,1.0,3.8249999999999997,8.875,87.5,295.0,0.22475
2012-01-01 09:30:00,1.0,3.85,9.05,90.0,306.0,0.2165
2012-01-01 09:45:00,1.0,3.875,9.225,92.5,317.0,0.20825000000000002
2012-01-01 10:00:00,1.0,3.9,9.4,95.0,328.0,0.2
2012-01-01 10:15:00,1.0,3.9499999999999997,9.575,93.25,345.25,0.2
2012-01-01 10:30:00,1.0,3.9999999999999996,9.75,91.5,362.5,0.2
2012-01-01 10:45:00,1.0,4.05,9.924999999999999,89.75,379.75,0.2
2012-01-01 11:00:00,1.0,4.1,10.1,88.0,397.0,0.2
2012-01-01 11:15:00,1.0,4.0249999999999995,10.275,86.0,386.25,0.2
2012-01-01 11:30:00,1.0,3.9499999999999997,10.450000000000001,84.0,375.5,0.2
2012-01-01 11:45:00,1.0,3.8749999999999996,10.625,82.0,364.75,0.2
2012-01-01 12:00:00,1.0,3.8,10.8,80.0,354.0,0.2
2012-01-01 12:15:00,1.0,3.9,10.725000000000001,74.5,316.75,0.2
2012-01-01 12:30:00,1.0,4.0,10.65,69.0,279.5,0.2
2012-01-01 12:45:00,1.0,4.1000000000000005,10.575000000000001,63.5,242.25,0.2
2012-01-01 13:00:00,1.0,4.2,10.5,58.0,205.0,0.2
2012-01-01 13:15:00,1.0,4.2250000000000005,10.625,48.75,168.75,0.2
2012-01-01 13:30:00,1.0,4.25,10.75,39.5,132.5,0.2
2012-01-01 13:45:00,1.0,4.275,10.875,30.25,96.25,0.2
2012-01-01 14:00:00,1.0,4.3,11.0,21.0,60.0,0.2
2012-01-01 14:15:00,1.0,4.25,11.425,15.75,45.0,0.2
2012-01-01 14:30:00,1.0,4.199999999999999,11.85,10.5,30.0,0.2
2012-01-01 14:45:00,1.0,4.1499999999999995,12.275,5.25,14.999999999999998,0.2
2012-01-01 15:00:00,1.0,4.1,12.7,0.0,0.0,0.2
2012-01-01 15:15:00,1.0,4.05,11.524999999999999,0.0,0.0,0.2
2012-01-01 15:30:00,1.0,4.0,10.35,0.0,0.0,0.2
2012-01-01 15:45:00,1.0,3.9499999999999997,9.174999999999999,0.0,0.0,0.2
2012-01-01 16:00:00,1.0,3.9,8.0,0.0,0.0,0.2
2012-01-01 16:15:00,1.0,3.875,8.174999999999999,0.0,0.0,0.2
2012-01-01 16:30:00,1.0,3.8499999999999996,8.35,0.0,0.0,0.2
2012-01-01 16:45:00,1.0,3.8249999999999997,8.524999999999999,0.0,0.0,0.2
2012-01-01 17:00:00,1.0,3.8,8.7,0.0,0.0,0.2
2012-01-01 17:15:00,1.0,3.8249999999999997,8.875,0.0,0.0,0.2
2012-01-01 17:30:00,1.0,3.85,9.05,0.0,0.0,0.2
2012-01-01 17:45:00,1.0,3.875,9.225,0.0,0.0,0.2
